RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
83254|12.44 inch dia. Disc|F|NS||NS||.866|||108|.803||NS|
83255|11.02 inch dia. Disc|F|NS||NS||.866|||108|.803||NS|
83256|11.02 inch dia. Disc|R|NS||NS||.394|||108|.330||NS|
83323|W/ Bosch Z0H|R|NS||NS||.394||NS||NS||NS|
83491|FNIII 16" No.1LV,1ZA|F|NS||NS||.984||NS||.866||NS|
83492|PR No. 1KD,1KS,1KT|R|NS||NS||.394||NS||.314||NS|
83493|FSIII PR No. 1ZM,1ZQ|F|NS||NS||.866||NS||.748||NS|
83494|FNIII 16" No.1ZB|F|NS||NS||.984||NS||.866||NS|
83495|FNIII 15" No.1ZE,1ZP|F|NS||NS||.984||NS||.866||NS|
83595||R|NS||NS||.472||NS||.394||NS|
83628|13.0 inch dia. Disc|F|NS||NS||0.787||NS|098|0.724||NS|
83688||R|NS||.002||NS||NS||.374||NS|
83689||F|NS||.002||NS||NS||1.043||NS|
83707|W/ 2.0L|F|.0002||.0016||1.023||NS||.960||NS|
83708|W/ 2.4L|F|.0002||.0016||1.102||NS||1.040||NS|
83725|W/ 14" Wheel|F|.0002||.002||.866||NS||.787||NS|
83726|W/ 15" Wheel|F|.0002||.002||.866||NS||.764||NS|
83735|4WD|F|.0002||.001||1.102||NS||1.04||NS|
83748||R|.0006||.0055||NS||.350||.300||NS|
83782||F|.0003||.0007||1.102||1.043|065|1.024||NS|
83783|W/ 16" Brakes|R|.0003||.0014||.472||.421|065|.394||NS|
83784|W/ 17" Vented|R|.0003||.0014||.866||.814|065|.787||NS|
83785|W/ 17" Solid Disk|R|.0003||.0014||.433||.381|065|.354||NS|
83806|W/ RPO JD9 5.3L|R|.0007||.002||.787||.748||.728||NS|
83808|W/ RPO JD9 5.3L|F|.0007||.002||1.181||1.122||1.102||NS|
84046||R|.0002||.001||.393||NS||.330||NS|
84047||F|.0002||.001||1.102||NS||1.040||NS|
84053||F|.0002||.001||1.024||NS||.960||NS|
84059|W/ Solid Rotor|R|NS||.003||.472||NS||.394||NS|
84060|W/ Vented Rotor|R|NS||.003||.787||NS||.708||NS|
84061||F|NS||.003|219|1.102||NS||1.024||NS|
84074||R|NS||.003|219|0.98||NS||0.87||NS|
84075||F|NS||.002|219|1.34||NS||1.22||NS|
84103|EVO GSR|R|NS||.0032||.390||NS||.330||NS|
84242||R|NS||.0006|204|.394||NS||.335||NS|
84243||F|NS||.0020|204|1.102||NS||.984||NS|
84292||F|NS||.0020|266|.940||NS||.870||NS|
84293||R|NS||.0020|266|.390||NS||.335||NS|
84465||F|.0006||.002||NS||.858||.830||NS|
84498||F|.0006||.002||NS||.820||.790||NS|
84499||R|.0006||.002||NS||.350||.310||NS|
84506|W/ 16" Disc|R|.0003||.002||.472||.421|065|.394||NS|
84507|W/  17" Vented|R|.0003||NS||.866||.814|065|.787||NS|
84508||F|.0003||.0016||1.181||1.133|065|1.102||NS|
84509|W/ 17" Disc Solid|R|.0003||NS||.433||.381|065|.354||NS|
84522|W/ 17" Disc Solid|R|NS||.0010||.433||.381|065|.354||NS|
84523||F|NS||.0008||1.102||1.043|065|1.023||NS|
84524|W/ 16" Disc|R|NS||.0010||.472||.421|065|.393||NS|
84525|W/Vented|R|NS||.0010||.866||.814|065|.787||NS|
84562||R|NS||.002||NS||NS||.906||NS|
84717|W/ RPO JD9, JF3, JF7|F|.0007||.002||1.181||1.122||1.102||NS|
84718|W/ RPO J92, JD9|R|.0007||.002||.787||.728||.709||NS|
84719|W/ RPO J92|F|.0007||.002||1.181||1.122||1.102||NS|
84785|W/ RPO J55|F|.0002||.002||1.180||NS||1.070||NS|
84786|W/ RPO J55|R|.0002||.002||.787||NS||.709||NS|
84787|W/ RPO J64|F|.0002||.002||1.180||NS||1.070||NS|
84788|W/ RPO J64|R|.0002||.002||.905||NS||.846||NS|
84809|W/ Code 950,952,P53|F|NS||NS||1.259||1.201||1.181||NS|
84813||F|NS||.0004||1.259||1.185||1.161||NS|
84814||R|NS||.0004||.866||NS||.767||NS|
84839||R|NS||.002||NS||NS||1.433|||
84893||R|NS||.002||NS||.354||NS|044|NS|
84894||F|NS||.002||NS||.906||NS|044|NS|
85417||F|.0003||.0014|213|.945||.866||NS||NS|
85418||R|.0006||.0039|213|.354||.315||NS||NS|
85429||R|.0004||.0028|213|1.181||1.122||NS||NS|
85430||F|.0004||.0016|213|1.496||1.437||NS||NS|
85460||F|NS||.0020|207|1.26||NS||1.14||NS|
85476||F|NS||.0019|204|1.102||NS||.984||NS|
85484|2WD|F|NS||.0020|206|.984||NS||.906||NS|
85485|4WD|F|NS||.0020|206|1.102||NS||1.024||NS|
85486|Prerunner|F|NS||.0020|206|1.102||NS||1.024||NS|
85513||F|.0001||.001|213|1.18||1.12||NS||NS|
85514||R|.0001||.002|213|0.55||0.47||NS||NS|
85546||R|NS||.0059|204|.354||NS||.295||NS|
85570|W/ 10.83" Rotor|F|NS||.002||.984||NS||.866||NS|
85572|W/ 11.70" Rotor|F|NS||.0020|199|1.102||NS||.984||NS|
85590|Akebono type|F|.0006||.0016||.906||NS||.827||NS|
85591|Nissin type|F|.0006||.0016||.984||NS||.906||NS|
86125||R|.0006||.002||NS||.390||.350||NS|
86478|11.81 inch dia. Disc|F|NS||NS||0.866||NS|098|0.803||NS|
86479|13.38 inch dia. Disc|F|NS||NS||1.181||NS|098|1.118||NS|
86483|13.78 inch dia. Disc|R|NS||NS||0.945||NS|098|0.881||NS|
86648|DRW|R|.0004||.0009||1.338||NS||1.275||NS|
86650|SRW|R|.0004||.0009||1.338||NS||1.275||NS|
86667||R|.0004||.0009||1.338||NS||1.275||NS|
86690||R|NS||.0040||.472||NS||.433||NS|
86691||F|NS||.0040||1.023||NS||.944||NS|
86891||R|.0002||.0012||.430||NS||.370||NS|
86892||F|.0002||.001||1.102||NS||1.023||NS|
86992|W/ DRW|F|.0005||.012||1.397||NS||1.330||NS|
86993|W/ SRW|F|NS||.005||NS||NS||1.334||NS|
87011||R|.0006||.0016||.394||NS||.315||NS|
87020|W/ Ceramic Disc|R|.0007||.001|052|1.102|||271||216|NS|
