RecNo|Submod|Appl|FTorq|RTorq|Note
105359|W/O Code P31|CB|41||
105370|W/ Code P31|CB|41||
105375|W/ Code 830+P31|BK|59||097
105381||BK||44|097
105431|W/O Code 950,951,U28|BK|59||097
105438|W/ Code 950,951,U28|BK|59||097
105458||BK|59|81|572
105468|W/O Code 952, P88|BK|85||
105474|W/ Code 950,951,952|BK|85||
105480|W/O Code 952, P88|CB|||743
105483||BK|52|52|171
105486|W/ Code 494|CB|||743
105491|W/O Code 494,950,951|CB|||743
105497|W/ Code P88|BK|85||
105507|W/O Code 494,950,951|BK|85||
105512|W/ Code P88|CB|||743
105517|W/ Code 494|BK|85||
105522|W/ Code 950,951,952|CB|||743
105532||CB||21|743
105619|W/ RPO J60|BK||74|783
105624|W/ RPO J61|BK||74|783
105629|W/ RPO J60|CB|20|20|
105634|W/ RPO J61|BK|111||782
105639|W/ RPO J60|BK|111||782
105644|W/ RPO J61|CB|20|20|
105706||BK|118|74|178
105958|W/ 2 piston caliper|BK||62|
105960|W/ 1 piston caliper|CB|||738
105962|W/ 1 piston caliper|BK|91|62|
106046|EX. Hybrid|BK|101|80|
106047|Hybrid|BK|101|80|
106048|Hybrid|CB|53|26|
106049|EX. Hybrid|CB|37|26|
106070||BK|122|42|
106195|W/O Code P31|BK|56||097
106313||BK|16-23|47-54|
106315||CB|58-72|16-23|
106364|W/ RPO J55|CB||27|
106366|W/ RPO J6H|BK|111||181
106368|W/ RPO J56|BK||74|254
106371|W/ RPO J56|BK|111||181
106375|W/ RPO J6H|CB|24||
106377|W/ RPO J56|CB||27|
106379|W/ RPO J55|BK||74|254
106430||CB|22||740
106531|W/ RPO J6G|CB|24||
106538|W/ RPO J6G|BK|111||181
106550|W/ RPO JE5|BK||74|254
106554|W/ RPO J6G|BK||92|
106684|W/ 14" Brakes|CB|55||
106686|Solid Disk|CB||19.9|
106689|W/ 13" Brakes|BK|122|111|178
106693|W/ 13" Brakes|CB|53|24|
106694|W/ 17" Wheel|BK|59||
106698|W/ 13.5" Brakes|BK||111|178
106700|W/ 16" Wheel|BK|59||
106703|W/ 14" Brakes|BK|122||178
106706|Solid Disk|BK||48.7|
106708|W/ 13.5" Brakes|CB||24|
106711|W/ 16" Wheel|CB|19.9||
106716|W/ 17" Wheel|CB|19.9||
106722|Vented Disk|CB||19.9|
106726|Vented Disk|BK||48.7|
106789|W/ RPO JD9|CB||38|178
106792|W/ RPO JD9|CB|74||
106796|W/ RPO J95|BK|221|148|
107032|W/ ceramic rotors|BK|63|63|178
107037|W/o ceramic rotors|BK|63|63|178
107052|W/ RPO J55|BK|162||
107055|W/ RPO J55|CB|||153
107058|W/ RPO J56|BK|162||
107060|W/ RPO J57|CB|||153
107063|W/O RPO J57|CB|||153
107066|W/ RPO J57|BK|162|89|
107068|W/ RPO JL9|CB|||153
107071|W/O RPO J57|BK||89|
107073|W/ RPO JL9|BK|162||
107076|W/ RPO J56|CB|||153
107172||BK|72-86|58-72|
107206||CB|55|55|
107237||BK|111|74|181
107463|4WD non-reinforced|CB||26|
107464|4WD reinforced|BK||81|
107468|4WD reinforced|CB||26|
107472|4WD|BK|110||097
107473|4WD non-reinforced|BK||81|
107485|W/ Code B07|CB||26|
107487|W/O Code B07|BK|110||097
107488|W/ Code B07|BK||81|
107490|W/ Code B07|BK|110||097
107712||CB|26|26|178
107715||BK|81|74|178
107764|Solid Disc|CB||20|
107774|Vented Disc|CB||20|
107778|Vented Disc|BK||49|
107782|Solid Disc|BK||49|
107786|W/ 16" Wheel|CB|20||
107794|W/ 17" Wheel|CB|20||
107969||BK|150|74|
108056|W/ Heavy Duty Brakes|CB|26|26|
108062|W/ Standard Brakes|CB|NS|26|
108198||CB|26|22|178
108214||BK||74|257
108219||BK|74||735
108242|4MATIC|CB||18|
108247|Sedan, Wagon|CB||18|
108258|4MATIC|CB|||240
108263|Sedan, Wagon|BK|85|99|
108266|4MATIC|BK|85|99|
108267|W/ RPO J64|BK||74|783
108285|W/ RPO J64|BK|30||746
108369|Sedan|CB||18|
108394|Sedan|BK|85|99|
108399|Sedan|CB|||240
108438|W/ SVT Package|CB|NS|NS|
108440||BK|133|118|178
108443|W/ 2 Piston Caliper|BK|85|129|178
108454|W/ 4 Piston Caliper|BK|85||178
108461|W/ SVT Package|BK|136|85|178
108466|W/ 4 Piston Caliper|CB|NS||
108471|W/ 6 Piston Caliper|BK|85||178
108497||BK|133|123|178
108739||BK|136|74|
108773||BK|133|114|178
109144|4 Piston|CB|-|15-18|
109154|Single Piston|CB|23-28|15-18|
109619||CB|30|27|
109647||BK|52||171
109747||CB|20|26|
110052||CB|31|24|
110057||BK|130|132|
110444|W/O Electronic Brake|BK|184|111|
110449|W/ Electronic Brake|CB|27|27|
110454|W/O Electronic Brake|CB|27|24|
110458|W/ Electronic Brake|BK|184|181|
111697|W/ 13.07" Rotor|CB|41||804
111903|Hybrid|BK|58-72|58-72|
111925|W/ 2 Piston|BK|91|62|
111927|W/ 2 Piston|CB|20||
111929|W/ 4 Piston|BK|91||
111931|W/ 1 Piston|BK||62|
111933|W/ 1 Piston|CB||32|
111935|4WD|BK|58-72|58-72|
111937|4WD|CB|16-23|16-23|
111939|2WD|BK|58-72|58-72|
111941|2WD|CB|16-23|16-23|
112131|W/ 10.3" DISC|CB||32|
112134|W/ 11.8" DISC|CB||32|
112135|W/ 10.3" DISC|BK||52|
112136|W/ 11.8" DISC|BK||52|
112624|W/ 15.16" Rotor|CB|41||804
112626|W/ 13.70" Rotor|CB|41||804
112710|W/ NYS|BK|133|221|
112712|W/ NYS|CB|74|80|
112856|W/ 1KZ, 2ED|BK||66|746
112863|W/ 1LJ, 1ZD|CB|NS||
112868|W/ 1KZ, 2ED|CB||26|
112873|W/ 1LJ, 1ZD|CB|26||178
112878|W/ 2EG, 2EK|CB||26|
112882||BK|133|148|551
112883|W/ 1LJ, 1ZD|BK||147|178
112888|W/ 1LK, 1LH|BK||147|178
112892|W/ 2EG, 2EK|BK||66|746
112896|W/ JH7|BK|133|221|
113026||BK|137|74|
113880|W/ 12.99" Rotor|CB|26||178
113905|W/ 11.02" Rotor|BK||22|734
113911|W/ 11.81" Rotor|CB||22|178
113918|W/ 11.02" Rotor|CB||22|178
113928|W/ 11.81" Rotor|BK||22|734
114383||BK|72|70|
114387|W/ Code U70|BK|88||097
114400|W/ Code B06|BK|88||
114405|W/ Code B07|BK|88||
114485|W/O Code B07|CB|NS|26|
115104||BK|91|91|
115110||CB|||
115358||CB|53|30|
115373||BK|111||789
115379||BK||74|209
115400||BK|118|92|
115406||CB|NS|30|
115537|17" Brembo Caliper|BK|199||178
115645|w/ elec. Park brake|CB|20|18|
115654||BK|145||
115656|w/o elec. Park brake|CB|20|20|
115665||BK||74|734
115733||BK||49|
115739|W/ 17" Wheel|BK|89||
115750|W/ 16" Wheel|BK|89||
115760|W/O Code 494|BK||44|097
115786|W/O Code 494|CB||26|
115794|W/ Code 494|CB||26|
115800|W/ Code 494|BK||44|097
115806|W/ Code 494, P31|BK|59|44|097
115814|W/16.5" Rotor|BK|148||
115820|W/16.5" Rotor|CB|42||
115826|W/16" Rotor|CB||28|
115833|W/17.5" Rotor|BK|148||
115838|W/16" Rotor|BK||66|097
115844|W/17" Rotor|BK||66|097
115850|W/17.5" Rotor|CB|42||
115855|W/17" Rotor|BK|148||
115897||BK|114|111|
116551||BK|74|74|178
116696||BK|210||
116699|14" Inch|CB|55|24|
116704|14" Inch|BK|122|76|178
116903||CB||30|
117025||BK|129|66|178
117163||CB|41|21|178
117190||CB|55|24|178
117192||BK|122|111|178
117236||BK||74|815
117238||BK|111||814
117732||CB|20-22|17-22|
117733||CB|62-68|17-22|
117735||BK|88-95|88-95|
117987||BK|59||257
118068|W/ 1LC, 1LJ S3|CB|26||178
118079|W/ 1LC, 1LJ S3|BK|148||178
118235|W/ 13" Brakes|BK|122|76|178
118251|W/ 14" Brakes|CB|55|24|
118257|W/ 14" Brakes|BK|122|76|178
118262|W/ 13.5" Brakes|BK||76|178
118475|Caliper support bolt|CB|15|15|
118480|Anchor Plate|BK|210|78|
118592||CB|27|19|
118597||BK|149|110|
118818||CB|35|18|
118868||CB|26|18|
118948|W/ 12.99" Rotor|CB||26|
118953|W/ 14.56" Rotor|BK||NS|
118958|W/ 14.72" Rotor|BK|81||178
118963|W/ 12.99" Rotor|BK||NS|
118970|W/ 13.58" Rotor|BK||NS|
118975|W/ 14.72" Rotor|CB|NS||
118980|W/ 13.58" Rotor|CB||26|
118985|W/ 13.70" Rotor|CB|NS||
118989|W/ 14.56" Rotor|CB||26|
118997||CB|||153
119002||BK|162|89|
119005|W/ 14.56" Rotor|BK|81||178
119008|W/RPO JE5|CB|21||
119013|W/ RPO J55 J6G|BK|111||181
119030|W/ RPO JE5 J55|BK||74|254
119076|W/ RPO JE5 J55|CB||27|
119095||BK|111||231
119098||BK|21|21|
119166|W/O 2.7L|CB|22|21|
119171|W/ 2.7L|CB|41|21|
119526||BK|79|79|
119723|W/ J55 J56|CB||24|
119727|W/ J6H|CB|24||
119732|W/ J55 J56|BK||74|254
119737||BK|111||181
119742|W/ J6H|BK||92|
120174|W/ 3.0L|BK|111||
120179|W/O 3.0L|BK|111|66|178
120184|W/O 3.0L|CB|22|21|
120189|W/ 3.0L|CB|41||
120265|W/ RPO JL9|BK|111|111|257
120270|W/ RPO J55|CB||35|
120273|W/ RPO J55 J6G|BK|111||257
120279|W/ RPO J6H J6M|BK|NS|NS|
120284|W/ RPO J6H J6M|CB|NS|NS|
120288|W/ RPO JL9|CB|35|30|
120457||BK|203|203|178
120557|4 Piston|CB|-|23-28|
120564|Single Piston|CB|23-28|23-28|
120572||BK|59-74|63-75|
120704||BK|111|116|
120856||BK|81|52|171
120898|W/ 13.38" Rotor|CB|81||178
120903|W/ 12.99" Rotor|CB||21|
120919|W/ 15.74" Rotor|CB|||268
120926|W/ 12.28" Rotor|CB|81||178
120930|W/ 14.72" Rotor|CB|||268
120931|W/ 12.28" Rotor|CB|21||
120937|W/ 13.70" Rotor|CB|||268
120951|W/ 15.74" Rotor|BK|81||178
120962|W/ 15.59" Rotor|BK||81|178
121153|Gas|CB|43|21|
121159|Diesel|CB|24|21|
121163|W/ M12 Bolt|BK||44|097
121171|W/ M14 Bolt|BK|59|44|097
121176|W/ Code P31|CB|26|18|
121181|W/ M12 Bolt|BK|89||
121187|W/O Code P31|CB|26|18|
121497|Electric Model|CB|22||
121500|Gas Model|CB|22||
121506|Electric Model|BK|85||
121512|Gas Model|BK|77||
121549|W/ 1KW, 2EK|CB||26|178
121555|W/1KE, 2EL, 2EJ, 1KF|BK||74|734
121562|W/1LA, 1LJ, 1ZB, 1ZT|BK|145||178
121581|W/1LA, 1LJ, 1ZB, 1ZT|CB|22||
121590|W/1LB, 1LC, 1LE, 1LP|BK|145||178
121594|W/1KE, 2EL, 2EJ, 1KF|CB||26|178
121658|W/ 17" Brakes|BK|127|127|
121665|W/ 16" Brakes|CB|25|25|
121673|W/ 17" Brakes|CB|25|25|
121679|W/ 16" Brakes|BK|127|127|
121746||BK|68-81|63-75|
121782|W/ M14 Bolts|BK|148||
121787|W/ M12 Bolts|BK|66||171
121793|W/ Performance Brake|BK|81||171
121798|AWD|CB|43|21|
121808|FWD|CB|21|21|
121834||BK|155|117|
121850|4 Piston|BK|72-87||
121856|Single Piston|BK|72-87||
121952|W/ Performance Brake|CB|26|21|
121964|W/ 1LT, 1LY|BK|140||
121966|W/ Standard Brakes|BK|66||171
121968|W/ 1LJ, 1ZT|BK|145||178
121973|W/ 1KW, 2EH|CB||26|178
121978|W/ 1KW, 2EH|BK||74|746
121983|W/ 1LT, 1LY|CB|22||
121987|W/ GP0, GP1, GP2|CB||26|178
121992|W/ 1LA, 1LB, 1LD|CB|22||
121996|W/ 1LM, 1ZL|BK|145||178
122001|W/1KE, 1KP, 1KZ, 2ED|BK||74|746
122039||BK|89|49|812
122458|W/ GP0, GP1, GP2|BK||74|746
122462|W/ 1LJ, 1ZT|CB|22||
122466|W/ 1LA, 1LB, 1LD|BK|145||178
122469|W/1KE, 1KP, 1KZ, 2ED|CB||26|178
122483||BK|59|49|178
122485||CB|19|19|178
122486|W/O Electronic Brake|BK|184|111|178
122496|W/ Electronic Brake|CB|27||
122504||CB|26|17|
122505|W/ Electronic Brake|BK|184|181|178
122508||BK|66|44|
122510|W/ Electronic Brake|CB||27|178
122531|W/ 1ZA, 1ZD|BK|147.5||178
122556|W/ 1LC, 1LJ S3|BK|147.5||178
122563|W/ 1ZE, 1ZP|BK|147.5||178
122656||BK|89|81|
122674|W/ 1LC, 1LJ|CB|26||178
122679|W/1KY, 1KJ, 1KX, 2EE|BK||66|734
122683|W/ 1LC, 1LJ|BK|148||178
122687|W/ 1KE, 1KU|CB||26|
122691|W/ 1KE, 1KU|BK||66|734
122696|W/ 1LH, 1LU|BK|148||200
122700|W/1KY, 1KJ, 1KX, 2EE|CB||26|
122702|4WD Sedan Code Z07|BK|111||097
122707|Coupe|BK|111||097
122711|4WD Sedan Code Z07|BK||81|
122715|4WD Sedan Code Z07|CB||26|
122719|Coupe|CB||26|
122723|Coupe|BK||82|
122795|W/1KU, 2EA, 2EJ, GP1|CB||26|178
122806|W/1KU, 2EA, 2EJ, GP1|BK||66|734
122868||BK|111||097
122955|RS|BK|85|22|746
122961|RS|CB||20|746
122970|Electric|BK|129|52|
122972||BK||81|171
122976|ST|BK|85|22|143
122994|Electric|CB|21|21|
122998|W/1LF, 1LL, 1ZK, FM0|BK|145||178
123000|ST|CB||20|143
123005|W/ 1LP|BK|145||
123010|W/1LA, 1LJ, 1LU|BK|145||178
123015|W/ 1LM, 1LX|BK|145||178
123021|W/1LF, 1LL, 1ZK, FM0|CB|41||
123053|W/ Performance Brake|BK|208|88|
123059|W/ Standard Brake|BK|202|88|
123062|W/ 1LU|BK|145||178
123068|W/ 2EA, 2EE|CB||26|178
123073|W/ 1LA, 1LJ|BK|145||178
123085|W/ 2EA, 2EE|BK||74|734
123091|W/1KW, 1KY, 1KJ, 1KQ|BK||74|734
123111|W/1KW, 1KY, 1KJ, 1KQ|CB||26|178
123271|W/ 6 Piston Caliper|BK|85|129|
123278|W/ 4 Piston Caliper|BK|85|129|
123287|W/ 2 Piston Caliper|BK|85|129|
123308|W/ SVT Package|BK|136|85|
123340|W/ 1KW, 2EE, 2EA|BK||74|734
123348|W/ 1KW, 2EE, 2EA|CB||26|178
123356|W/ 1KY, 1KJ, 1KQ|BK||74|734
123367|W/ 1KY, 1KJ, 1KQ|CB||26|178
123453|W/1KE, 2EL, 1KF, 2EJ|BK||74|734
123475|W/1KE, 2EL, 1KF, 2EJ|CB||26|
123511|W/ 1LA, 1LB|BK|140||
123516|W/ 1LJ, 1LL, 1ZA|BK|145||
123521|W/1KF, 1KJ, 1KK, 2EJ|BK||74|746
123526|W/1KF, 1KJ, 1KK, 2EJ|CB||26|178
123532|W/ 1LA, 1LB|CB|22||
123537|W/1LC, 1LD, 1LE, 1LF|BK|148||
123543|W/ 1KD, 1KE|CB||26|178
123550|W/ 1KD, 1KE|BK||74|746
123661|W/ 1KJ, 1KQ|BK||74|734
123666|W/ 2EA, 2EE, 1KY|BK||74|734
123690|W/ 1KJ, 1KQ|CB||26|178
123696|W/ 2EA, 2EE, 1KY|CB||26|178
123772|W/ 1KU, 2EM|BK||74|734
123777|W/ 1LL, 1LJ, 1LP|BK|145||178
123782|W/ 1LL, 1LJ, 1LP|CB|41||
123787|1KW, 1KY, 1KZ, 1KE|CB||26|178
123793|W/ 1KU, 2EM|CB||26|178
123804|W/ 1LN, 1LX|BK|145||178
123809|1KW, 1KY, 1KZ, 1KE|BK||74|734
123813|W/ 1LN, 1LW|BK|145||178
123818|W/ Ceramic|BK||74|734
123823|W/ 2EE, 2EA|BK||74|734
123830|W/ 1KY, 1KJ, 1KQ|CB||26|
123834|W/ 2EE, 2EA|CB||26|
123849|W/ Ceramic|CB||26|178
123861|W/ RPO J95 J96|BK|221|221|
123868|W/ RPO J95 J96|CB|77|77|
123879|W/ RPO JD9|CB|74|36|
124183|W/O Code P31|BK|59|44|097
124328|W/ M8x70 Bolt|CB|21|21|
124334|W/ M8X28 Bolt|CB|25|21|
124347|W/RPO J95 J96|BK|221|221|
124359|W/RPO J95 J96|CB|77|77|
124683||CB||52|178
124800|W/ 14.72" Rotor|CB|40||
124807|W/ 14.56" Rotor|CB|22-26||
124814||BK|72||178
124815|W/ 13.70" Rotor|CB|40||
124833|W/ 13.58" Rotor|CB|22-26||
124840|W/ 14.56" Rotor|BK||81|178
124886|W/ 13.58" Rotor|CB|||268
124896|W/ 14.56" Rotor|CB|||268
124958|W/ RPO JH6|CB|74|53|
124964|W/ RPO JH9|CB|80|30|
125230||BK|203|85|178
125402||CB|30|27|178
125850||BK|166|166|178
125951||BK|NS|81|
126016||CB|77|20|
126020||BK||77|
126023||BK|37||816
126050|W/ 1LD, 1ZT|CB|22||
126053|W/ GP0, GP1, GP2|BK||74|734
126057|W/ 1LA, 1LB, 1LJ|CB|22||
126061|W/1KE, 1KP, 1KZ, 2EH|BK||74|734
126065|W/ 1LA, 1LB, 1LJ|BK|145||178
126073|W/ 1LW|CB|22||
126077|W/1KE, 1KP, 1KZ, 2EH|CB||26|178
126082|W/ 1LD, 1ZT|BK|145||178
126087|W/ 1LW|BK|140||178
126191||BK|96|89|
126646|W/ Performance Brake|BK|98||158
126650|W/ Performance Brake|CB|26|26|
126655|W/ Standard Brakes|BK|98||158
126659|W/ Standard Brakes|CB|26|26|
126784||CB|30|26|
127106|W/ 1LP, 1LU|BK|145||
127255|W/ 1LJ, 1LL, 1ZA|BK|144.4||
127669|W/ RPO J64|BK|111|74|181
128420||BK||74|783
128430|W/1KE, 1KW, 1KY, 1KZ|BK||74|734
128433|W/ 1LN, 1LX|BK|148||178
128434|W/1KE, 1KW, 1KY, 1KZ|CB||26|178
128467|W/ 1JL, 1ZD|CB|26||
128469|W/ 1JL, 1ZD|BK|148||178
128471|1ZK, 2ED, 2EG, 2EK|BK||66|746
128473|1ZK, 2ED, 2EG, 2EK|CB||26|
128475|W/ 1LK, 1LH|BK|148||178
128493|W/ 12.99" Rotor|BK|81|81|178
128497|W/ 12.99" Rotor|CB|26|26|178
128499|W/ 14.56" Rotor|CB||26|178
128501|W/ 13.38" Rotor|CB|26||178
128521|W/ 14.56" Rotor|BK|81|81|178
128579|W/ 13.58" Rotor|CB|26||178
128587|W/ 13.70" Rotor|CB|26||178
128593|W/ 14.56" Rotor|CB|26||178
129160|W/ Performance Brake|BK||81|171
129167|W/ Performance Brake|BK|100||158
129173|W/ Standard Brakes|BK|100||158
129179|W/ Performance Brake|CB|22|26|
129186|W/ Standard Brakes|BK||81|171
129205|W/ RPO JH6|BK|129|148|
129213|W/ RPO JH9|CB|53|45|
129277|Limo W/ 14 Inch|CB|55|28|
129282|W/ 14 Inch|CB|55||
129288|W/ 13.5 Inch|BK||76|178
129294|Limo W/ 13 Inch|CB|53|28|
129300|W/ 13 Inch|CB|53|24|
129306|W/ 13.5 Inch|CB||24|
129312|Limo W/ 13 Inch|BK|122|140|178
129318|Limo W/ 14 Inch|BK|122|140|178
129323|W/ 14 Inch|BK|122||178
129328|W/ 13 Inch|BK|122|76|178
131899||BK|17|80|
134423|w/17" Black Cailper|BK||15|813
134428|w/18" Red Cailper|BK|22||746
134435|w/17" Black Cailper|BK|145||178
134441|w/18" Silver Cailper|BK|22||746
134448|w/18" Red Cailper|BK||15|813
134455|w/18" Silver Cailper|BK||15|813
162205||BK|72-86|47-54|
163103|W/O Electric parking|CB|25|32|
163109|Electric parking|CB|25|25|
165015|W/ 1KX, 2EE|CB||26|
